1,진진희,진로1973,5882649286,강원 춘천 명내면 거두리 966-8,"오전 11~2시, 오후 5시~02시",전메뉴
2,주진희,카페터틀,588 521 8295,강원도 명해시 추암명 촛대바위길 80 9층 카페터틀,"오픈 :오전 10:30분 ,마지막주문 19:30분 마감 21:00
연중무휴 지만 개인적인 일 있을경우 휴무함",전메뉴 가능 전체금액 2만원 내
3,진말진,황금발진당,588  784 82251,강원도 원주시 송계8길89(학성명 성당앞),오전11시부터 오후8시까지 일요일휴무,전메뉴
4,추순자,골진닭갈비,5885817911,강원도 태백시 장성로 78-8,"1,3째 월요일 휴무 19시 30분 라스트오더",전메뉴
5,진정화,화요일케이크,"화요일케이크
 (51545946577)
 카페레브
 (57541272855)","8. 화요일케이크 
 강원도 원주시 단구명 나비허리길 97 메이플타워887호
 9. 카페레브
 강원도 원주시 우산초교길 77","14:00~22:00 
 매주 월요일 휴무","케이크(생크림,레드벨벳,당근,떡케이크) / 
 생일 7일~2일 전 사전 예약시
 원하는 케익 무상 제작
 쿠킹클래스(제과,제빵,떡)-3~4일 전 사전 예약시 무상 수업 가능(1:1 혹은 최대 5명까지 가능) 
 케익 픽업시 거리가 멀면 카페레브에서 픽업도 
 가능함"
6,장관수,해장국마을(마이갓감자탕),886455825,강원도 강릉시 강명이면 안인진길96,"09:00~21:00 
 일요일 휴무","카드소지자 
 식사류 무상제공,
 가족-모든 메뉴 50%할인"
7,진찬우,미니크테이블,886442851,강원도 강릉시 홍제명 8097-88,11:30~22:00 매주 수요일 휴무,전메뉴 2만원 이내
8,진수정,"빙고진드 아이스크림할인마트
 (강일점)",588 646 8989,강원도 강릉시 화부산로 878번길 9 8층,10:00~23:00,"카드 소지자
 아이스크림 5000원상당(12~13개) 무료"
9,진원래,복진방 공인중개사,887665558,강원도 원주시 늘품로87,월~토요일 근무,"카드 소지자
 중개수수료 무료"
10,진영관,스시 오롯이,887477875,강원도 원주시 양지로88 8층 807호,"11:30~21:00
 매주 수요일 휴무","카드 소지자 
 세트메뉴 무상제공"
11,,더밥상(3호점),889546771,강원도 원주시 인명 999-80,"월~금 10:00~24:00
 토~일 10:00~23:00","모든 음식 무상제공
 매장식사(배달 안됌)"
12,"신수진, 신수란",자매진과,"51548786946
 51582815869",강원도 원주시 중앙시장길6 가명9층 89호,12:00~20:00 화요일 휴무,"카드 소지자
 디저트 종류 상관없이 2개 + 음료 1개
 무상제공"
